City,date,housing_price,roomtype
Los Angeles,2019-04,793092.3333333334,2beds
Los Angeles,2019-05,794291.75,2beds
Los Angeles,2019-06,796833.5833333334,2beds
Los Angeles,2019-07,791078.9583333334,2beds
Los Angeles,2019-08,788090.375,2beds
Los Angeles,2019-09,787258.9583333334,2beds
Los Angeles,2019-10,793853.0416666666,2beds
Los Angeles,2019-11,796654.125,2beds
Los Angeles,2019-12,799492.6458333334,2beds
Los Angeles,2020-01,803137.1666666666,2beds
Los Angeles,2020-02,811810.6666666666,2beds
Los Angeles,2020-03,820411.5625,2beds
Los Angeles,2020-04,805292.0638297872,2beds
Los Angeles,2020-05,823694.5,2beds
Los Angeles,2020-06,819003.6666666666,2beds
Los Angeles,2020-07,822129.7916666666,2beds
Los Angeles,2020-08,831759.0416666666,2beds
Los Angeles,2020-09,845121.2083333334,2beds
Los Angeles,2020-10,852703.1666666666,2beds
Los Angeles,2020-11,855168.8125,2beds
Los Angeles,2020-12,851675.7142857143,2beds
Los Angeles,2021-01,852431.5918367347,2beds
Los Angeles,2021-02,858526.0,2beds
Los Angeles,2021-03,862598.306122449,2beds
